Roadway Name,Roadway Name og,From,To,Direction,average_volume
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3325.5
Harlem River Drive,HARLEM RIVER DRIVE,WEST 147 STREET,MACOMBS PLACE,SB,3321.958333
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3321.583333
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,EB,3319.041667
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3318.125
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,EB,3317.208333
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3316.333333
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,EB,3314.416667
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3312.041667
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3311.708333
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,WB,3311.291667
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,WB,3310.708333
Fdr Drive,FDR Drive,99 Street,100 Street,NB,3310.125
F D R Drive,F D R Drive,119 Street,East 120 Street Pedestrian Overpass,NB,3310.125
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,NB,3310.125
Fdr Drive,FDR Drive,99 Street,100 Street,NB,3309.416667
F D R Drive,F D R Drive,119 Street,East 120 Street Pedestrian Overpass,NB,3309.416667
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,NB,3309.416667
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,EB,3309.333333
Long Island Expressway,Long Island Expressway,134 Street,135 Street,WB,3309.041667
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3307.5
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3305.958333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3304.625
Fdr Drive,FDR Drive,99 Street,100 Street,NB,3303.5
F D R Drive,F D R Drive,119 Street,East 120 Street Pedestrian Overpass,NB,3303.5
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,NB,3303.5
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3302.541667
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,EB,3299.208333
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3296.5
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3294.916667
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3294.458333
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3294.166667
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3291.625
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3291.375
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3287.458333
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3285.083333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3284.75
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,WB,3283.958333
Gowanus Expressway,GOWANUS EXPRESSWAY,29 STREET,28 STREET,SB,3281.166667
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,NB,3281
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3280.916667
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3280.083333
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,WB,3279.75
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3277.916667
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3276.958333
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3276.708333
Grand Central Parkway,Grand Central Parkway,141 Street,Main Street,WB,3276.416667
Grand Central Parkway,Grand Central Parkway,141 Street,Main Street,WB,3271.5
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3270.125
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3269.583333
Harlem River Drive,HARLEM RIVER DRIVE,WEST 147 STREET,MACOMBS PLACE,SB,3267.041667
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,SB,3266.375
Fdr Drive,FDR Drive,119 Street,East 120 Street Pedestrian Overpass,SB,3263.958333
Fdr Drive,FDR Drive,East 42 Street,East 43 Street,SB,3262.708333
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,WB,3262.208333
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,WB,3260.75
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3260.541667
Fdr Drive,FDR Drive,119 Street,East 120 Street Pedestrian Overpass,SB,3260.166667
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3259.458333
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3256.166667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,EB,3255.833333
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,WB,3255.625
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3254.5
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3251.041667
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,EB,3250.083333
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3249.291667
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,SB,3247.833333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3247.541667
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3244.875
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,WB,3244.541667
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3244.25
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3243.5
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3243.166667
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3242.875
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,WB,3241.875
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,NB,3239.75
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3238.958333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,EB,3237.125
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3230.041667
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,SB,3229.041667
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3228.083333
Fdr Drive,FDR Drive,119 Street,East 120 Street Pedestrian Overpass,SB,3228
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,EB,3227.25
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,WB,3226.541667
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,WB,3226.458333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3225.25
Grand Central Parkway,Grand Central Parkway,141 Street,Main Street,WB,3224.958333
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,EB,3224.25
Long Island Expressway,Long Island Expressway,134 Street,135 Street,WB,3223.333333
Grand Central Parkway,Grand Central Parkway,141 Street,Main Street,WB,3218.833333
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3217.75
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3216.916667
Major Deegan Expressway,MAJOR DEEGAN EXPRESSWAY,MOSHOLU PARKWAY,VAN CORTLANDT PARK SOUTH,SB,3216.833333
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,SB,3216.416667
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,SB,3213.833333
Fdr Drive,FDR Drive,119 Street,East 120 Street Pedestrian Overpass,SB,3213.833333
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3213.375
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,NB,3213.291667
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3212.041667
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,EB,3211.25
Grand Central Parkway,Grand Central Parkway,141 Street,Main Street,WB,3210.041667
F D R Drive,F D R DRIVE,29 STREET,26 STREET,SB,3209.083333
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,NB,3208.625
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,SB,3208.333333
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,SB,3207.625
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,SB,3207.5
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3206.958333
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,SB,3205.5
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3201.208333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3200.5
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3198.875
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3198.208333
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3198.083333
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3197.625
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,EB,3195.166667
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,SB,3192
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3190.791667
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3190.541667
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,SB,3189.583333
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3189.416667
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3187.75
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3185.916667
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,NB,3185.666667
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,NB,3185.333333
Gowanus Expressway,GOWANUS EXPRESSWAY,29 STREET,28 STREET,SB,3185.208333
F D R Drive,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,SB,3184.208333
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,EB,3183.875
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3183.666667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,EB,3180.833333
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,NB,3178.75
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,SB,3178.416667
Harlem River Drive,HARLEM RIVER DRIVE,WEST 147 STREET,MACOMBS PLACE,SB,3177
Belt Parkway,BELT PARKWAY,26 STREET,DOOLEY STREET,EB,3174.375
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,EB,3173.25
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3171.541667
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,WB,3169.458333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MARMION AVENUE,PROSPECT AVENUE,WB,3168.458333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,WB,3168.416667
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,WB,3167.208333
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,SB,3166.708333
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,NB,3165.416667
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3163.875
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3160.208333
Major Deegan Expressway,MAJOR DEEGAN EXPRESSWAY,MOSHOLU PARKWAY,VAN CORTLANDT PARK SOUTH,SB,3157.583333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,WB,3156.916667
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3156.208333
Henry Hudson Parkway,HENRY HUDSON PARKWAY,73 STREET,76 STREET,NB,3156.166667
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,EB,3146.583333
Long Island Expressway,Long Island Expressway,134 Street,135 Street,EB,3142.291667
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,WB,3140.875
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3139.666667
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,WB,3139.25
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3139.083333
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3137.333333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,EB,3133.916667
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3133.75
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,WB,3132.583333
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,NB,3130.291667
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3130.083333
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3129.958333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3128.333333
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,WB,3126.708333
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3124.541667
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,EB,3124.333333
Fdr Drive,FDR Drive,99 Street,100 Street,NB,3124.166667
F D R Drive,F D R Drive,119 Street,East 120 Street Pedestrian Overpass,NB,3124.166667
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,NB,3124.166667
Belt Parkway,BELT PARKWAY,BODY OF WATER,ERSKINE STREET,NB,3124.083333
Belt Parkway,BELT PARKWAY,BODY OF WATER,ERSKINE STREET,NB,3123.583333
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,WB,3122.958333
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3122.291667
Fdr Drive,FDR Drive,99 Street,100 Street,NB,3121.875
F D R Drive,F D R Drive,119 Street,East 120 Street Pedestrian Overpass,NB,3121.875
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,NB,3121.875
Harlem River Drive,HARLEM RIVER DRIVE,WEST 147 STREET,MACOMBS PLACE,SB,3121.833333
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,NB,3121.791667
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,EB,3121
Belt Parkway,BELT PARKWAY,26 STREET,DOOLEY STREET,EB,3120.75
Long Island Expressway,Long Island Expressway,134 Street,135 Street,WB,3120.083333
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,EB,3119.791667
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,NB,3119.75
Van Wyck Expressway,VAN WYCK EXPRESSWAY,102 AVENUE,LIBERTY AVENUE,NB,3118.833333
Grand Central Parkway,Grand Central Parkway,141 Street,Main Street,WB,3118.583333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,WB,3118.291667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3116.625
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,SB,3116.291667
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,SB,3116.125
Fdr Drive,FDR Drive,East 42 Street,East 43 Street,SB,3115.541667
F D R Drive,F D R DRIVE,29 STREET,26 STREET,SB,3114.75
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,SB,3114.5
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,WB,3111.625
Fdr Drive,FDR Drive,East 10 Street Pedestrian Overpass,East 13th Street,SB,3110.708333
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,EB,3108.291667
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3107.25
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,EB,3106.541667
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,NB,3106.291667
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3105.041667
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,WB,3104.875
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3104
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,WB,3103.833333
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3102.5
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3102.375
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3101.666667
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3100.708333
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,EB,3099.958333
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3099.666667
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,EB,3099.208333
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,WB,3099.166667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,WB,3099.041667
Shore Parkway,SHORE PARKWAY,25 AVENUE,BAY 41 STREET,SB,3098.625
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,EB,3098.375
Belt Parkway,BELT PARKWAY,BODY OF WATER,ERSKINE STREET,SB,3094.916667
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,SB,3094.083333
F D R Drive,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,SB,3093.25
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3093.208333
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,EB,3092.5
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3092.208333
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,EB,3090.75
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,EB,3089.5
F D R Drive,F D R DRIVE,29 STREET,26 STREET,SB,3088.333333
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,SB,3088.125
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,NB,3087.25
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,EB,3086.666667
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3086.125
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3085.333333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,WB,3084.666667
Belt Parkway,BELT PARKWAY,26 STREET,DOOLEY STREET,WB,3084.458333
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,WB,3084.375
F D R Drive,F D R DRIVE,29 STREET,26 STREET,SB,3083.666667
Shore Parkway,SHORE PARKWAY,25 AVENUE,BAY 41 STREET,SB,3083.416667
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3082.041667
Van Wyck Expressway,VAN WYCK EXPRESSWAY,102 AVENUE,LIBERTY AVENUE,NB,3079.875
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,EB,3078.958333
Long Island Expressway,Long Island Expressway,134 Street,135 Street,WB,3078.583333
Fdr Drive,FDR Drive,119 Street,East 120 Street Pedestrian Overpass,SB,3078.083333
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,SB,3077.666667
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,EB,3077.291667
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3074.083333
Belt Parkway,BELT PARKWAY,BODY OF WATER,ERSKINE STREET,NB,3073.666667
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3073.083333
Gowanus Expressway,GOWANUS EXPRESSWAY,29 STREET,28 STREET,SB,3071.541667
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3071.375
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,SB,3071.125
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3068.708333
Belt Parkway,BELT PARKWAY,BODY OF WATER,ERSKINE STREET,NB,3067.75
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,WB,3067.625
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,EB,3066.333333
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,EB,3065.833333
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,NB,3065.541667
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,NB,3065.25
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,SB,3064.958333
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3064.833333
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3064.083333
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,WB,3063.583333
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3063
Fdr Drive,FDR Drive,East 42 Street,East 43 Street,SB,3061
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,EB,3060.875
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3060.791667
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,SB,3058.333333
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,EB,3057
F D R Drive,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,SB,3056.25
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,NB,3053.083333
Belt Parkway,BELT PARKWAY,26 STREET,DOOLEY STREET,WB,3050.958333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,EB,3049.291667
Shore Parkway,SHORE PARKWAY,25 AVENUE,BAY 41 STREET,NB,3046.958333
F D R Drive,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,SB,3046.291667
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3046.208333
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3040
Belt Parkway,BELT PARKWAY,26 STREET,DOOLEY STREET,WB,3039.75
Belt Parkway,BELT PARKWAY,BODY OF WATER,ERSKINE STREET,NB,3039.125
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,EB,3038.458333
Belt Parkway,BELT PARKWAY,26 STREET,DOOLEY STREET,EB,3037.083333
Cross Bronx Expressway,Cross Bronx Expressway,Rosedale Avenue,Commonwealth Avenue,EB,3036.75
Fdr Drive,FDR Drive,East 10 Street Pedestrian Overpass,East 13th Street,SB,3035.208333
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3034.625
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,EB,3033.333333
Belt Parkway,BELT PARKWAY,26 STREET,DOOLEY STREET,EB,3032.125
Belt Parkway,Belt Parkway,South Conduit Avenue,Cohancy Street,EB,3030.541667
Grand Central Parkway,Grand Central Parkway,193 Street,Cunningham Park SR,WB,3030.166667
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3027
Exterior Street,Exterior Street,Dead End,Dead End,NB,3024.541667
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,EB,3022.791667
Harlem River Drive,HARLEM RIVER DRIVE,WEST 147 STREET,MACOMBS PLACE,SB,3022.791667
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3022.583333
Shore Parkway,SHORE PARKWAY,25 AVENUE,BAY 41 STREET,NB,3021.333333
Belt Parkway,BELT PARKWAY,STILLWELL AVENUE BRIDGE,SHELL ROAD,EB,3019.875
Belt Parkway,BELT PARKWAY,BODY OF WATER,ERSKINE STREET,NB,3017.166667
Exterior Street,Exterior Street,Dead End,Dead End,NB,3017.125
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,WB,3014.708333
